dataset,,pi,charge,hydrophobic_ratio,hm
AMP test data,0.25,9.7698974609375,3.8897500000000003,0.3,0.15374137839709767
AMP test data,0.5,10.9747314453125,4.996,0.38095238095238093,0.2999446755294823
AMP test data,0.75,12.1015625,6.93,0.47368421052631576,0.4783814359816984
Non-AMP test data,0.25,4.81256103515625,-4.88175,0.358695652173913,0.05080592488702229
Non-AMP test data,0.5,6.11328125,-0.665,0.3858695652173913,0.07935584254270255
Non-AMP test data,0.75,9.19140625,4.176,0.41333333333333333,0.11423089237851831
Random,0.25,4.87890625,-0.003,0.25,0.14904985249649888
Random,0.5,6.330810546875,0.996,0.3333333333333333,0.2393602042905767
Random,0.75,8.864501953125,1.996,0.45,0.3653668547449179
Uniprot,0.25,5.09765625,0.028,0.32,0.12717391163859226
Uniprot,0.5,7.8671875,1.7934999999999999,0.4090909090909091,0.19906615734291508
Uniprot,0.75,10.3994140625,2.996,0.5,0.28683735050149073
