dataset,,pi,charge,hydrophobic_ratio,hm
Basic,0.25,10.91357421875,4.922,0.2857142857142857,0.2453670965976175
Basic,0.5,11.81201171875,5.996,0.4,0.36891379748836556
Basic,0.75,12.42431640625,7.489,0.5,0.5090461044476815
HydrAMP,0.25,10.98681640625,4.892,0.2727272727272727,0.2730369280952826
HydrAMP,0.5,11.9599609375,5.995,0.4,0.40186437293048277
HydrAMP,0.75,12.57763671875,6.996,0.5238095238095238,0.5514428454914612
PepCVAE,0.25,10.93756103515625,4.725,0.3,0.24171372287179108
PepCVAE,0.5,11.806640625,5.989,0.4117647058823529,0.37157784134393795
PepCVAE,0.75,12.4130859375,6.996,0.5294117647058824,0.5267501582340504
PepZOO,0.25,10.775146484375,4.094,0.3076923076923077,0.23927700464526724
PepZOO,0.5,11.7496337890625,5.928,0.43478260869565216,0.3707425602514034
PepZOO,0.75,12.40869140625,6.996,0.5555555555555556,0.5280301874820227
Prototype,0.25,10.708984375,3.996,0.3181818181818182,0.2906401852250928
Prototype,0.5,11.81201171875,4.996,0.42857142857142855,0.4349409690275572
Prototype,0.75,12.4130859375,6.725,0.5454545454545454,0.5970912842646403
