epoch_no,val_loss,val_amp_prediction_loss,val_mic_prediction_loss,val_vae_loss_1_loss,val_mic_mean_grad_loss,val_amp_mean_grad_loss,val_unconstrained_sleep_mic_output_grad_input_loss,val_unconstrained_sleep_amp_output_grad_input_loss,val_correction_sleep_mic_output_grad_loss,val_correction_sleep_amp_output_grad_loss,val_correction_sleep_amp_prediction_loss,val_correction_sleep_mic_prediction_loss,val_unconstrained_sleep_amp_prediction_loss,val_unconstrained_sleep_mic_prediction_loss,val_z_cond_reconstructed_error_loss,val_correction_sleep_cond_reconstructed_error_loss,val_unconstrained_sleep_cond_reconstructed_error_loss,val_amp_prediction_acc,val_amp_prediction_binary_crossentropy,val_mic_prediction_acc,val_mic_prediction_binary_crossentropy,val_vae_loss_1__kl_metric,val_vae_loss_1__rcl,val_vae_loss_1__reconstruction_acc,val_vae_loss_1__amino_acc,val_vae_loss_1__empty_acc,val_mic_mean_grad_mse,val_mic_mean_grad_huber_loss,val_amp_mean_grad_mse,val_amp_mean_grad_huber_loss,val_unconstrained_sleep_mic_output_grad_input_mse,val_unconstrained_sleep_mic_output_grad_input_huber_loss,val_unconstrained_sleep_amp_output_grad_input_mse,val_unconstrained_sleep_amp_output_grad_input_huber_loss,val_correction_sleep_mic_output_grad_mse,val_correction_sleep_mic_output_grad_huber_loss,val_correction_sleep_amp_output_grad_mse,val_correction_sleep_amp_output_grad_huber_loss,val_correction_sleep_amp_prediction_acc,val_correction_sleep_amp_prediction_binary_crossentropy,val_correction_sleep_mic_prediction_acc,val_correction_sleep_mic_prediction_binary_crossentropy,val_unconstrained_sleep_amp_prediction_acc,val_unconstrained_sleep_amp_prediction_binary_crossentropy,val_unconstrained_sleep_mic_prediction_acc,val_unconstrained_sleep_mic_prediction_binary_crossentropy,val_z_cond_reconstructed_error_mse,val_z_cond_reconstructed_error_mae,val_correction_sleep_cond_reconstructed_error_mse,val_correction_sleep_cond_reconstructed_error_mae,val_unconstrained_sleep_cond_reconstructed_error_mse,val_unconstrained_sleep_cond_reconstructed_error_mae,loss,amp_prediction_loss,mic_prediction_loss,vae_loss_1_loss,mic_mean_grad_loss,amp_mean_grad_loss,unconstrained_sleep_mic_output_grad_input_loss,unconstrained_sleep_amp_output_grad_input_loss,correction_sleep_mic_output_grad_loss,correction_sleep_amp_output_grad_loss,correction_sleep_amp_prediction_loss,correction_sleep_mic_prediction_loss,unconstrained_sleep_amp_prediction_loss,unconstrained_sleep_mic_prediction_loss,z_cond_reconstructed_error_loss,correction_sleep_cond_reconstructed_error_loss,unconstrained_sleep_cond_reconstructed_error_loss,amp_prediction_acc,amp_prediction_binary_crossentropy,mic_prediction_acc,mic_prediction_binary_crossentropy,vae_loss_1__kl_metric,vae_loss_1__rcl,vae_loss_1__reconstruction_acc,vae_loss_1__amino_acc,vae_loss_1__empty_acc,mic_mean_grad_mse,mic_mean_grad_huber_loss,amp_mean_grad_mse,amp_mean_grad_huber_loss,unconstrained_sleep_mic_output_grad_input_mse,unconstrained_sleep_mic_output_grad_input_huber_loss,unconstrained_sleep_amp_output_grad_input_mse,unconstrained_sleep_amp_output_grad_input_huber_loss,correction_sleep_mic_output_grad_mse,correction_sleep_mic_output_grad_huber_loss,correction_sleep_amp_output_grad_mse,correction_sleep_amp_output_grad_huber_loss,correction_sleep_amp_prediction_acc,correction_sleep_amp_prediction_binary_crossentropy,correction_sleep_mic_prediction_acc,correction_sleep_mic_prediction_binary_crossentropy,unconstrained_sleep_amp_prediction_acc,unconstrained_sleep_amp_prediction_binary_crossentropy,unconstrained_sleep_mic_prediction_acc,unconstrained_sleep_mic_prediction_binary_crossentropy,z_cond_reconstructed_error_mse,z_cond_reconstructed_error_mae,correction_sleep_cond_reconstructed_error_mse,correction_sleep_cond_reconstructed_error_mae,unconstrained_sleep_cond_reconstructed_error_mse,unconstrained_sleep_cond_reconstructed_error_mae
0,109.74980926513672,0.7905786037445068,2.0267813205718994,112.2135009765625,0.00015580537728965282,0.009336447343230247,0.0013317117700353265,0.05401717498898506,0.00016191390750464052,0.010541859082877636,1.582778811454773,1.4850538969039917,0.7669363617897034,1.4689476490020752,0.14007608592510223,0.14955133199691772,6.175424098968506,8.877841173671186e-05,0.805091381072998,0.0,2.046684503555298,455.6795959472656,1.7514547109603882,0.46943655610084534,0.2133854180574417,0.9993924498558044,0.0003165378875564784,0.00015580537728965282,0.029309773817658424,0.009336447343230247,0.0028764442540705204,0.0013317117700353265,0.2650638222694397,0.05401717498898506,0.0003302880213595927,0.00016191390750464052,0.034817885607481,0.010541859082877636,0.7442885637283325,1.596044659614563,0.5025893449783325,1.505173921585083,0.6330936551094055,0.8072248101234436,0.5009913444519043,1.4904274940490723,0.14007601141929626,0.2775231599807739,0.1495513767004013,0.286812424659729,6.175422191619873,1.9586482048034668,125.22442882711238,0.79600376,1.7654526,124.957184,3.79106e-05,0.0041858326,0.0007498288,0.056477245,3.946305e-05,0.0043736105,1.2226764,1.5144194,0.719684,1.4842967,0.11076512,0.12396347,5.6958003,0.0001294685,0.8104597,0.0,1.7843975,367.20578,1.950975,0.4162758,0.14292626,0.9858521,7.959776e-05,3.79106e-05,0.010691266,0.0041858326,0.0018895583,0.0007498288,0.8679937,0.056477245,8.1565326e-05,3.946305e-05,0.011754786,0.0043736105,0.79700446,1.2360424,0.50004256,1.5336238,0.60309577,0.76317567,0.49959496,1.50513,0.110765085,0.22864798,0.12396353,0.24267231,5.695797,1.8647599
1,51.414085388183594,0.5790486931800842,0.36359119415283203,58.18452453613281,0.05047040805220604,0.06334106624126434,0.04926309734582901,0.0874846875667572,0.06883564591407776,0.08590009808540344,2.2897555828094482,2.1718904972076416,1.2368489503860474,1.427608847618103,0.02114751562476158,0.02282610349357128,9.180623054504395,8.877841173671186e-05,0.595055103302002,0.0,0.37560155987739563,649.0914916992188,0.9055392146110535,0.7180736064910889,0.6308067440986633,0.9928094148635864,0.15705972909927368,0.05047040805220604,0.3472977876663208,0.06334106624126434,0.1511470228433609,0.04926309734582901,0.5533619523048401,0.0874846875667572,0.21942053735256195,0.06883564591407776,0.5110201239585876,0.08590009808540344,0.6095081567764282,2.3060340881347656,0.579530656337738,2.186908006668091,0.5854787826538086,1.27507483959198,0.46070075035095215,1.4583790302276611,0.021147510036826134,0.10996714979410172,0.02282610349357128,0.11430815607309341,9.180621147155762,2.3800461292266846,87.65419655225493,0.6750389,1.1508157,87.463264,0.020956837,0.030995358,0.016361127,0.06486086,0.024282215,0.0380675,1.8803864,1.4762195,0.9703487,1.4420652,0.08399265,0.08992774,8.544633,0.00014241536,0.68991894,0.0,1.1727673,614.8134,1.3638154,0.574665,0.39848334,0.9947141,0.054637574,0.020956837,0.12964842,0.030995358,0.04585352,0.016361127,0.45285165,0.06486086,0.06476589,0.024282215,0.1674249,0.0380675,0.69330204,1.8948996,0.5390699,1.4995557,0.6105717,1.0100149,0.48341322,1.4678293,0.08399255,0.20879835,0.08992783,0.21609995,8.544637,2.3040051
2,30.32659149169922,0.4554435908794403,0.16725239157676697,34.71026611328125,0.03696652129292488,0.08201451599597931,0.1270272582769394,0.11346174031496048,0.048902276903390884,0.09824585914611816,2.977149724960327,4.064550399780273,1.6315910816192627,1.585244059562683,0.007196920923888683,0.007693447172641754,9.178496360778809,8.877841173671186e-05,0.4712769687175751,0.0,0.17206105589866638,619.9908447265625,0.5382452607154846,0.836370050907135,0.8054170608520508,0.9999970197677612,0.23703870177268982,0.03696652129292488,0.6189212203025818,0.08201451599597931,0.4754883944988251,0.1270272582769394,0.7425245046615601,0.11346174031496048,0.31263139843940735,0.048902276903390884,0.7824662923812866,0.09824585914611816,0.5317678451538086,2.9932689666748047,0.5169419050216675,4.070073127746582,0.5538440942764282,1.6674493551254272,0.48583984375,1.6146005392074585,0.007196921389549971,0.060548510402441025,0.007693448569625616,0.06248893216252327,9.178495407104492,2.3721466064453125,45.591213300824165,0.5309194,0.22810507,45.51362,0.057103075,0.095860384,0.09273944,0.09662779,0.0785991,0.11516442,2.765507,3.244203,1.4936839,1.516862,0.016945964,0.018471293,9.204151,0.00014611447,0.546543,0.0,0.23482881,636.2842,0.7071843,0.78011346,0.72404134,0.99700165,0.28193423,0.057103075,0.64378047,0.095860384,0.34012157,0.09273944,0.5905157,0.09662779,0.40560955,0.0785991,0.81073797,0.11516442,0.56093526,2.781344,0.5412376,3.252538,0.5602195,1.5307708,0.4700225,1.547229,0.016945962,0.09245573,0.01847129,0.0966834,9.204148,2.376032
3,22.94101905822754,0.35989639163017273,0.11971583962440491,25.94175910949707,0.028316892683506012,0.07347244769334793,0.17796920239925385,0.14020931720733643,0.04049776494503021,0.0874285027384758,2.9145543575286865,4.373535633087158,1.6999303102493286,1.7815766334533691,0.005426468327641487,0.005610619205981493,8.398983001708984,0.0001035748136928305,0.37706080079078674,0.0,0.12382876127958298,575.3074951171875,0.4012363851070404,0.8771987557411194,0.8574972152709961,0.9994077086448669,0.20242327451705933,0.028316892683506012,0.4854236841201782,0.07347244769334793,0.8672912120819092,0.17796920239925385,0.924239993095398,0.14020931720733643,0.3149905502796173,0.04049776494503021,0.5772001147270203,0.0874285027384758,0.521913468837738,2.9319276809692383,0.5118075013160706,4.37814474105835,0.5491684675216675,1.735107183456421,0.5062736868858337,1.807525396347046,0.005426469724625349,0.05174509808421135,0.005610620602965355,0.052719492465257645,8.398983001708984,2.2583839893341064,31.894621779972855,0.44437483,0.14790386,31.834473,0.0457238,0.107557826,0.15781346,0.1244755,0.062157944,0.12521595,2.9576967,4.1304984,1.6675006,1.702313,0.0092053125,0.009803236,8.705413,0.00014241536,0.46038803,0.0,0.15180425,594.60095,0.49325973,0.84665257,0.8168594,0.9982954,0.34912297,0.0457238,0.85894144,0.107557826,0.74115413,0.15781346,0.8433613,0.1244755,0.50350535,0.062157944,1.0781149,0.12521595,0.5336322,2.9739363,0.51843446,4.135094,0.5494385,1.7030897,0.49504507,1.7297454,0.009205323,0.06631193,0.009803234,0.06851861,8.705424,2.3043356
4,18.141799926757812,0.34219813346862793,0.0999322384595871,21.114259719848633,0.01938711851835251,0.06299582123756409,0.20420871675014496,0.15459373593330383,0.02609991282224655,0.0735039934515953,2.9697744846343994,4.474697589874268,1.6681815385818481,1.9723567962646484,0.005069187842309475,0.0052572619169950485,7.991106986999512,0.0001035748136928305,0.3594091236591339,0.0,0.10393481701612473,544.8623046875,0.3257773518562317,0.9004743695259094,0.8868540525436401,0.9999433755874634,0.13173434138298035,0.01938711851835251,0.47615110874176025,0.06299582123756409,1.24337637424469,0.20420871675014496,0.9956784248352051,0.15459373593330383,0.19471193850040436,0.02609991282224655,0.5454360842704773,0.0735039934515953,0.5179184675216675,2.9870827198028564,0.5098100304603577,4.479002475738525,0.5472153425216675,1.7041678428649902,0.516054093837738,1.995928168296814,0.005069185514003038,0.0487859807908535,0.0052572619169950485,0.049765173345804214,7.991104602813721,2.196197271347046,25.523432867770847,0.39364707,0.1218365,25.471046,0.039716855,0.10628194,0.19636402,0.14552651,0.055450834,0.12400592,2.9662278,4.3597045,1.6897911,1.875798,0.007907427,0.008366748,8.0966,0.00014611447,0.41001844,0.0,0.12521335,556.8695,0.3937624,0.8774617,0.8564516,0.9982746,0.35284632,0.039716855,0.86283505,0.10628194,1.1564163,0.19636402,0.97911316,0.14552651,0.5357799,0.055450834,1.1171505,0.12400592,0.5259196,2.9827695,0.51264536,4.3636413,0.54488486,1.7254455,0.51272863,1.9003863,0.00790743,0.06004673,0.008366735,0.061911136,8.0966015,2.2149346
5,15.69615364074707,0.29855766892433167,0.07992178946733475,17.390657424926758,0.018524032086133957,0.0663287341594696,0.2174965739250183,0.182298481464386,0.02444853074848652,0.07697179913520813,2.9377596378326416,4.5662617683410645,1.6181933879852295,2.1386044025421143,0.00453886529430747,0.004754255060106516,7.613277912139893,8.877841173671186e-05,0.31618958711624146,0.0,0.08371078968048096,521.4139404296875,0.2674607038497925,0.9190636277198792,0.9092327952384949,0.999891459941864,0.14364901185035706,0.018524032086133957,0.4315166771411896,0.0663287341594696,1.5387623310089111,0.2174965739250183,1.4609895944595337,0.182298481464386,0.19239120185375214,0.02444853074848652,0.5541945099830627,0.07697179913520813,0.5142933130264282,2.955462694168091,0.5063328742980957,4.570369243621826,0.5355557799339294,1.6549283266067505,0.52001953125,2.1600964069366455,0.00453886529430747,0.04475085809826851,0.004754256457090378,0.04590894654393196,7.613279819488525,2.1417009830474854,20.473560401661828,0.35696283,0.099401385,20.427256,0.036020596,0.10695278,0.21898593,0.16732027,0.0503581,0.1269965,2.9492643,4.469184,1.6313125,2.0476778,0.006544383,0.0069681494,7.678401,0.00014426491,0.37363073,0.0,0.102530755,529.72406,0.3148407,0.90144044,0.8862876,0.9990061,0.3483481,0.036020596,0.8725739,0.10695278,1.5656222,0.21898593,1.159014,0.16732027,0.532897,0.0503581,1.1562808,0.1269965,0.5219116,2.9661102,0.51052207,4.4727783,0.5394639,1.6679815,0.51839006,2.0702355,0.006544374,0.053930994,0.0069681504,0.055820942,7.6784053,2.1528149
6,12.768166542053223,0.2790195941925049,0.07003775238990784,14.986233711242676,0.018382631242275238,0.07394424825906754,0.23665441572666168,0.20698775351047516,0.02651938609778881,0.08068361133337021,2.9080145359039307,4.612004280090332,1.5849108695983887,2.308337926864624,0.004321631509810686,0.004480328410863876,7.347524642944336,0.0001035748136928305,0.29701825976371765,0.0,0.07371516525745392,507.38116455078125,0.22973036766052246,0.9301601648330688,0.9224086999893188,0.9998994469642639,0.15459752082824707,0.018382631242275238,0.5427089333534241,0.07394424825906754,1.9530662298202515,0.23665441572666168,1.704796552658081,0.20698775351047516,0.26525160670280457,0.02651938609778881,0.5822997689247131,0.08068361133337021,0.5141749382019043,2.9260849952697754,0.5092329382896423,4.615957260131836,0.5254645943641663,1.622106909751892,0.5208629369735718,2.328728437423706,0.0043216305784881115,0.04290128871798515,0.0044803256168961525,0.04381901025772095,7.3475260734558105,2.098890542984009,17.48422566733577,0.3276305,0.088824905,17.441978,0.032481566,0.10255725,0.23236398,0.19402681,0.04477407,0.12237561,2.937713,4.560024,1.5707469,2.2092047,0.0059684203,0.00636522,7.429164,0.00014611447,0.34454343,0.0,0.091765,511.393,0.26806563,0.9172046,0.9055338,0.99897987,0.34959623,0.032481566,0.8570128,0.10255725,1.8521104,0.23236398,1.5261079,0.19402681,0.50441366,0.04477407,1.1475065,0.12237561,0.5190559,2.954839,0.5088427,4.5633516,0.53186405,1.6079068,0.52028584,2.230301,0.005968414,0.050235067,0.0063652187,0.052068993,7.4291635,2.1133118
7,12.5056791305542,0.2625616192817688,0.06691677868366241,13.236807823181152,0.019470470026135445,0.07010252773761749,0.23613405227661133,0.21710087358951569,0.026690931990742683,0.07989024370908737,2.9136502742767334,4.665897846221924,1.5658234357833862,2.4432201385498047,0.004629303701221943,0.004786682780832052,7.040033340454102,0.0001035748136928305,0.28048303723335266,0.0,0.07061318308115005,488.345703125,0.20226821303367615,0.939495861530304,0.9332034587860107,0.9999554753303528,0.18350718915462494,0.019470470026135445,0.49657273292541504,0.07010252773761749,1.9562181234359741,0.23613405227661133,1.7185957431793213,0.21710087358951569,0.35400888323783875,0.026690931990742683,0.6045776605606079,0.07989024370908737,0.5128284692764282,2.931706666946411,0.5047496557235718,4.669763088226318,0.5211884379386902,1.6032145023345947,0.518613874912262,2.462594747543335,0.004629305563867092,0.043303657323122025,0.004786681849509478,0.04424070566892624,7.04003381729126,2.0492746829986572,17.95012318681587,0.32749155,0.098092906,17.906866,0.038227506,0.11293061,0.2395916,0.20913889,0.05321196,0.13169903,2.9036925,4.5414634,1.5314012,2.3544402,0.007053086,0.007417425,7.04625,0.00014241536,0.34449485,0.0,0.10112797,495.43408,0.2750833,0.916933,0.90409595,0.9991107,0.43180555,0.038227506,1.0216556,0.11293061,2.084327,0.2395916,1.6735367,0.20913889,0.64132786,0.05321196,1.2726519,0.13169903,0.5207908,2.9208734,0.50963986,4.544924,0.52598435,1.5690002,0.52057254,2.3745272,0.0070530833,0.052876398,0.00741744,0.05456724,7.046248,2.0512478
8,12.720250129699707,0.2481529265642166,0.06209488958120346,12.291173934936523,0.01660621538758278,0.06181126460433006,0.2375362515449524,0.2272670418024063,0.022030996158719063,0.0716371238231659,2.9095070362091064,4.699290752410889,1.5244117975234985,2.4991531372070312,0.0052435812540352345,0.005367371719330549,6.895708084106445,8.877841173671186e-05,0.26618731021881104,0.0,0.06562123447656631,473.8697204589844,0.18734905123710632,0.9442799091339111,0.938829243183136,0.9999474287033081,0.148698091506958,0.01660621538758278,0.4401536285877228,0.06181126460433006,2.015251636505127,0.2375362515449524,1.8430068492889404,0.2272670418024063,0.22525468468666077,0.022030996158719063,0.6232919096946716,0.0716371238231659,0.5105942487716675,2.9276785850524902,0.5059333443641663,4.702991485595703,0.5274325013160706,1.562011480331421,0.5246952176094055,2.5178487300872803,0.005243581719696522,0.04535350203514099,0.0053673721849918365,0.04603822901844978,6.895707130432129,2.0265750885009766,14.949827587401325,0.29767442,0.08318755,14.911047,0.030644476,0.09816348,0.24269368,0.22059824,0.042031344,0.11633043,2.9312782,4.6295414,1.5150139,2.4389122,0.0068689357,0.0072361114,6.945624,0.00014796402,0.31480476,0.0,0.086018614,481.79315,0.22811145,0.93238086,0.92321026,0.9985259,0.37190711,0.030644476,0.87122154,0.09816348,2.2066746,0.24269368,1.8941696,0.22059824,0.53423136,0.042031344,1.1178309,0.11633043,0.51688457,2.9485831,0.5075036,4.6326923,0.523321,1.5529743,0.52580124,2.4581099,0.0068689384,0.05086805,0.0072361073,0.052543268,6.9456205,2.0362933
9,10.260763168334961,0.24133142828941345,0.05871260538697243,11.447319984436035,0.012175518088042736,0.053843095898628235,0.24168124794960022,0.25669214129447937,0.014498538337647915,0.06128698214888573,2.8883206844329834,4.733574867248535,1.4876030683517456,2.6526029109954834,0.005791616626083851,0.00592945097014308,6.669581890106201,0.0001035748136928305,0.2593746781349182,0.0,0.06215343251824379,460.93701171875,0.17388705909252167,0.9487840533256531,0.9441798329353333,0.9998942017555237,0.13086798787117004,0.012175518088042736,0.4342195689678192,0.053843095898628235,2.3922417163848877,0.24168124794960022,2.311891794204712,0.25669214129447937,0.1221182718873024,0.014498538337647915,0.491825670003891,0.06128698214888573,0.5121034383773804,2.906543493270874,0.5037434697151184,4.737188816070557,0.5280539989471436,1.5255157947540283,0.5268850326538086,2.669957399368286,0.005791620351374149,0.04563293978571892,0.005929452367126942,0.04644779488444328,6.669583797454834,1.9918633699417114,13.452184197916226,0.28573966,0.07514035,13.415372,0.028094666,0.09372718,0.25194407,0.24149145,0.0388916,0.111019544,2.927632,4.6788287,1.4939704,2.5632544,0.0072529423,0.007593629,6.710144,0.00014241536,0.3029964,0.0,0.077901304,465.789,0.20451267,0.93919665,0.93152636,0.9989261,0.33605525,0.028094666,0.8568656,0.09372718,2.4824343,0.25194407,2.105617,0.24149145,0.5472348,0.0388916,1.1471332,0.111019544,0.51453376,2.9450696,0.5059315,4.6818533,0.5255016,1.531925,0.5277784,2.581362,0.007252943,0.051655866,0.0075936317,0.053206563,6.710157,1.9991233
