epoch_no,val_loss,val_amp_prediction_loss,val_mic_prediction_loss,val_vae_loss_1_loss,val_mic_mean_grad_loss,val_amp_mean_grad_loss,val_unconstrained_sleep_mic_output_grad_input_loss,val_unconstrained_sleep_amp_output_grad_input_loss,val_correction_sleep_mic_output_grad_loss,val_correction_sleep_amp_output_grad_loss,val_correction_sleep_amp_prediction_loss,val_correction_sleep_mic_prediction_loss,val_unconstrained_sleep_amp_prediction_loss,val_unconstrained_sleep_mic_prediction_loss,val_z_cond_reconstructed_error_loss,val_correction_sleep_cond_reconstructed_error_loss,val_unconstrained_sleep_cond_reconstructed_error_loss,val_amp_prediction_acc,val_amp_prediction_binary_crossentropy,val_mic_prediction_acc,val_mic_prediction_binary_crossentropy,val_vae_loss_1__kl_metric,val_vae_loss_1__rcl,val_vae_loss_1__reconstruction_acc,val_vae_loss_1__amino_acc,val_vae_loss_1__empty_acc,val_mic_mean_grad_mse,val_mic_mean_grad_huber_loss,val_amp_mean_grad_mse,val_amp_mean_grad_huber_loss,val_unconstrained_sleep_mic_output_grad_input_mse,val_unconstrained_sleep_mic_output_grad_input_huber_loss,val_unconstrained_sleep_amp_output_grad_input_mse,val_unconstrained_sleep_amp_output_grad_input_huber_loss,val_correction_sleep_mic_output_grad_mse,val_correction_sleep_mic_output_grad_huber_loss,val_correction_sleep_amp_output_grad_mse,val_correction_sleep_amp_output_grad_huber_loss,val_correction_sleep_amp_prediction_acc,val_correction_sleep_amp_prediction_binary_crossentropy,val_correction_sleep_mic_prediction_acc,val_correction_sleep_mic_prediction_binary_crossentropy,val_unconstrained_sleep_amp_prediction_acc,val_unconstrained_sleep_amp_prediction_binary_crossentropy,val_unconstrained_sleep_mic_prediction_acc,val_unconstrained_sleep_mic_prediction_binary_crossentropy,val_z_cond_reconstructed_error_mse,val_z_cond_reconstructed_error_mae,val_correction_sleep_cond_reconstructed_error_mse,val_correction_sleep_cond_reconstructed_error_mae,val_unconstrained_sleep_cond_reconstructed_error_mse,val_unconstrained_sleep_cond_reconstructed_error_mae,loss,amp_prediction_loss,mic_prediction_loss,vae_loss_1_loss,mic_mean_grad_loss,amp_mean_grad_loss,unconstrained_sleep_mic_output_grad_input_loss,unconstrained_sleep_amp_output_grad_input_loss,correction_sleep_mic_output_grad_loss,correction_sleep_amp_output_grad_loss,correction_sleep_amp_prediction_loss,correction_sleep_mic_prediction_loss,unconstrained_sleep_amp_prediction_loss,unconstrained_sleep_mic_prediction_loss,z_cond_reconstructed_error_loss,correction_sleep_cond_reconstructed_error_loss,unconstrained_sleep_cond_reconstructed_error_loss,amp_prediction_acc,amp_prediction_binary_crossentropy,mic_prediction_acc,mic_prediction_binary_crossentropy,vae_loss_1__kl_metric,vae_loss_1__rcl,vae_loss_1__reconstruction_acc,vae_loss_1__amino_acc,vae_loss_1__empty_acc,mic_mean_grad_mse,mic_mean_grad_huber_loss,amp_mean_grad_mse,amp_mean_grad_huber_loss,unconstrained_sleep_mic_output_grad_input_mse,unconstrained_sleep_mic_output_grad_input_huber_loss,unconstrained_sleep_amp_output_grad_input_mse,unconstrained_sleep_amp_output_grad_input_huber_loss,correction_sleep_mic_output_grad_mse,correction_sleep_mic_output_grad_huber_loss,correction_sleep_amp_output_grad_mse,correction_sleep_amp_output_grad_huber_loss,correction_sleep_amp_prediction_acc,correction_sleep_amp_prediction_binary_crossentropy,correction_sleep_mic_prediction_acc,correction_sleep_mic_prediction_binary_crossentropy,unconstrained_sleep_amp_prediction_acc,unconstrained_sleep_amp_prediction_binary_crossentropy,unconstrained_sleep_mic_prediction_acc,unconstrained_sleep_mic_prediction_binary_crossentropy,z_cond_reconstructed_error_mse,z_cond_reconstructed_error_mae,correction_sleep_cond_reconstructed_error_mse,correction_sleep_cond_reconstructed_error_mae,unconstrained_sleep_cond_reconstructed_error_mse,unconstrained_sleep_cond_reconstructed_error_mae
0,109.13372802734375,0.8631112575531006,2.00380802154541,111.62246704101562,0.0003050556406378746,0.012020941823720932,0.002300174906849861,0.04760613292455673,0.0003981252375524491,0.010763055644929409,1.0614745616912842,1.4450407028198242,0.4532874822616577,1.459722638130188,0.2106793075799942,0.21949777007102966,1.2600321769714355,8.877841173671186e-05,0.8769837617874146,0.0,2.0241751670837402,358.2085266113281,1.7423827648162842,0.4738571345806122,0.22064952552318573,0.9979636669158936,0.0006223935051821172,0.0003050556406378746,0.04483162611722946,0.012020941823720932,0.008204900659620762,0.002300174906849861,0.36080607771873474,0.04760613292455673,0.000853441481012851,0.0003981252375524491,0.03868305683135986,0.010763055644929409,0.8185813426971436,1.0739811658859253,0.5045276880264282,1.4655852317810059,0.7408262491226196,0.4928433895111084,0.500429093837738,1.4811937808990479,0.21067938208580017,0.3474738299846649,0.2194976806640625,0.3553292155265808,1.260032296180725,0.894367516040802,125.32926159013401,0.76212305,1.7663727,124.87144,4.5699104e-05,0.0036815638,0.00085596123,0.04605876,4.829215e-05,0.003159702,0.78045046,1.5071845,0.59757,1.4845219,0.21532412,0.2212297,1.5856944,0.00012207031,0.7766438,0.0,1.7853847,312.1601,1.949694,0.41663888,0.14277656,0.9879906,9.8209806e-05,4.5699104e-05,0.009889201,0.0036815638,0.0023177532,0.00085596123,0.4161438,0.04605876,9.8683835e-05,4.829215e-05,0.009270674,0.003159702,0.8542259,0.7930941,0.50006104,1.526425,0.6545373,0.6399728,0.49937856,1.505269,0.21532442,0.34329692,0.22122921,0.34876236,1.5856947,0.9913042
1,59.84343338012695,0.7025451064109802,0.7371038794517517,67.5511474609375,0.04986384138464928,0.053784240037202835,0.01792900450527668,0.047254156321287155,0.05458774417638779,0.06653442233800888,2.6649348735809326,1.6241436004638672,0.5023871660232544,1.3747551441192627,0.19368912279605865,0.19461287558078766,1.2127480506896973,0.0001035748136928305,0.7172195315361023,0.0,0.7595922350883484,500.53857421875,1.0523016452789307,0.6652278900146484,0.5398478507995605,0.9982704520225525,0.12241808325052261,0.04986384138464928,0.244645893573761,0.053784240037202835,0.04338762164115906,0.01792900450527668,0.21433168649673462,0.047254156321287155,0.13561059534549713,0.05458774417638779,0.32821065187454224,0.06653442233800888,0.5882457494735718,2.68027400970459,0.5750177502632141,1.6482937335968018,0.7678296566009521,0.5377705097198486,0.4817856252193451,1.402462124824524,0.19368910789489746,0.301822692155838,0.19461293518543243,0.30309343338012695,1.2127474546432495,0.8699017763137817,92.21539134058085,0.7120285,1.340074,91.82615,0.01321429,0.027276663,0.007216856,0.046858653,0.014202558,0.032311425,1.8506255,1.4367585,0.47581252,1.4292784,0.23050556,0.24733414,1.3131523,0.00013686671,0.726752,0.0,1.3625317,473.63953,1.4321955,0.55290294,0.36215907,0.9926487,0.030857043,0.01321429,0.10770064,0.027276663,0.01702218,0.007216856,0.2800174,0.046858653,0.033473168,0.014202558,0.13099928,0.032311425,0.7031916,1.8652004,0.5235448,1.4602349,0.75955665,0.51329297,0.49140328,1.4532374,0.23050547,0.3518002,0.24733454,0.3630482,1.3131523,0.90623033
2,32.21815872192383,0.4465676546096802,0.201079323887825,37.048030853271484,0.052188850939273834,0.10324431210756302,0.08101535588502884,0.06826060265302658,0.06772437691688538,0.11950824409723282,2.807175874710083,3.655144453048706,0.5492382645606995,1.0118756294250488,0.08471281081438065,0.0842377319931984,1.114033579826355,8.877841173671186e-05,0.46297958493232727,0.0,0.2068844735622406,497.73876953125,0.5746499300003052,0.8213415145874023,0.7818474173545837,0.9996100664138794,0.2390735149383545,0.052188850939273834,0.6066224575042725,0.10324431210756302,0.2577303647994995,0.08101535588502884,0.4111582338809967,0.06826060265302658,0.3291560113430023,0.06772437691688538,0.7666372060775757,0.11950824409723282,0.5446407198905945,2.82407283782959,0.527772843837738,3.661849021911621,0.7593217492103577,0.5842031836509705,0.5906723737716675,1.045426607131958,0.08471286296844482,0.20490336418151855,0.0842377319931984,0.20440629124641418,1.1140332221984863,0.836453378200531,51.2786268808625,0.5946549,0.33431983,51.027317,0.06728272,0.08879273,0.05529562,0.05805731,0.08278286,0.10422125,2.8191452,2.709979,0.5569557,1.2084056,0.1214372,0.12094918,1.1603589,0.00014611447,0.61013746,0.0,0.345531,502.74496,0.7934412,0.7471473,0.6709396,0.996962,0.24292539,0.06728272,0.4815879,0.08879273,0.17008613,0.05529562,0.28496227,0.05805731,0.30813468,0.08278286,0.57278544,0.10422125,0.5632639,2.8352304,0.5438935,2.7228303,0.75647897,0.5922751,0.5223167,1.2402967,0.121437214,0.24218865,0.120949015,0.24255018,1.1603587,0.8514117
3,22.658172607421875,0.3633086383342743,0.12887266278266907,26.042449951171875,0.04200338199734688,0.10830798000097275,0.1017131507396698,0.08037170022726059,0.05164384841918945,0.12651319801807404,2.8988704681396484,4.285201072692871,0.46814966201782227,0.7343652248382568,0.06355634331703186,0.0636906772851944,1.0662697553634644,0.0001035748136928305,0.3804023861885071,0.0,0.13314439356327057,471.14166259765625,0.40243712067604065,0.8748356103897095,0.8549774289131165,0.9899477958679199,0.2733229100704193,0.04200338199734688,0.6662604212760925,0.10830798000097275,0.4278295338153839,0.1017131507396698,0.6006765365600586,0.08037170022726059,0.3363538086414337,0.05164384841918945,0.893996000289917,0.12651319801807404,0.5276100635528564,2.9163639545440674,0.5106238126754761,4.289913177490234,0.7876864075660706,0.5002700686454773,0.7031397819519043,0.7639400959014893,0.06355632841587067,0.18182788789272308,0.06369064748287201,0.1817333996295929,1.0662693977355957,0.8202835917472839,31.743615298108622,0.4537319,0.1561724,31.547874,0.057748757,0.12631822,0.09819355,0.07668528,0.0775717,0.1481592,2.9635293,3.956623,0.5341189,0.92907596,0.07204165,0.07229073,1.088237,0.00014241536,0.4696032,0.0,0.16030906,484.66168,0.4885239,0.8450476,0.8132336,0.9976527,0.36257347,0.057748757,0.84466815,0.12631822,0.37091416,0.09819355,0.5054829,0.07668528,0.5001123,0.0775717,1.0556078,0.1481592,0.53387266,2.9798946,0.5191761,3.9616172,0.7647742,0.5677336,0.6333378,0.9603582,0.07204179,0.19166549,0.07229073,0.19207954,1.0882357,0.82743984
4,15.652674674987793,0.3210073709487915,0.08847377449274063,18.441383361816406,0.03498983383178711,0.10245751589536667,0.0953051745891571,0.08481335639953613,0.048569489270448685,0.12076330929994583,2.9676475524902344,4.411897659301758,0.37073037028312683,0.501941978931427,0.05453607812523842,0.054710421711206436,1.0446009635925293,0.0001035748136928305,0.3381044864654541,0.0,0.09246005862951279,449.96026611328125,0.28360018134117126,0.9116634726524353,0.8997439742088318,0.9996240735054016,0.2576974034309387,0.03498983383178711,0.8177675604820251,0.10245751589536667,0.521515429019928,0.0953051745891571,0.7345024347305298,0.08481335639953613,0.3979116678237915,0.048569489270448685,0.9137948155403137,0.12076330929994583,0.5182883739471436,2.9850223064422607,0.5128136873245239,4.416262626647949,0.8221768736839294,0.39968931674957275,0.7984582185745239,0.5258312225341797,0.05453609302639961,0.17213673889636993,0.05471040681004524,0.1721344292163849,1.044601321220398,0.8132761120796204,23.546571403741837,0.38610744,0.118067026,23.381145,0.054232564,0.1397263,0.10456378,0.0854933,0.07544729,0.16489318,2.966198,4.2774706,0.44764617,0.66916203,0.05999944,0.060494922,1.0632021,0.00014796402,0.40244666,0.0,0.12143054,460.58896,0.3607224,0.88503516,0.865236,0.99804944,0.45414653,0.054232564,1.0869352,0.1397263,0.4569068,0.10456378,0.60131043,0.0854933,0.6652439,0.07544729,1.3868874,0.16489318,0.5244677,2.982982,0.5135831,4.281484,0.79551744,0.47865754,0.73820174,0.69584733,0.059999462,0.17857964,0.060494885,0.17932582,1.0632012,0.8192947
5,19.00809669494629,0.3659733831882477,0.13116781413555145,21.537761688232422,0.08251864463090897,0.20398591458797455,0.08075088262557983,0.08191612362861633,0.10977903008460999,0.23487375676631927,2.904515027999878,4.270877361297607,0.314301997423172,0.37517479062080383,0.056987449526786804,0.05726638808846474,1.0378142595291138,8.877841173671186e-05,0.3830873966217041,0.0,0.1355128139257431,440.17218017578125,0.33156466484069824,0.8934923410415649,0.8739039897918701,0.9973129630088806,0.849616289138794,0.08251864463090897,2.0521628856658936,0.20398591458797455,0.6237890124320984,0.08075088262557983,0.5702926516532898,0.08191612362861633,1.2299848794937134,0.10977903008460999,2.5972583293914795,0.23487375676631927,0.5283942818641663,2.921858787536621,0.5135090947151184,4.275796890258789,0.8489583134651184,0.34079045057296753,0.8488103747367859,0.3951243460178375,0.0569874569773674,0.17535141110420227,0.057266391813755035,0.17576071619987488,1.0378142595291138,0.8106213808059692,18.707804528827015,0.34197015,0.10185208,18.562603,0.050165173,0.1418301,0.09915471,0.08892418,0.072969854,0.16545075,2.9519942,4.415295,0.37243584,0.48821878,0.054889563,0.055397365,1.0459682,0.00014241536,0.35873884,0.0,0.10493215,441.92957,0.28526142,0.9099321,0.89573133,0.9983969,0.48392215,0.050165173,1.1909852,0.1418301,0.56256217,0.09915471,0.65846044,0.08892418,0.7533179,0.072969854,1.4773659,0.16545075,0.5210146,2.9691012,0.5117964,4.418931,0.82818604,0.40045178,0.81050247,0.51027465,0.054889563,0.17219186,0.055397272,0.17278925,1.045969,0.8132936
6,9.748228073120117,0.253069669008255,0.06143460422754288,11.087475776672363,0.023524465039372444,0.08818963170051575,0.0756889283657074,0.08562168478965759,0.03641694039106369,0.10424651950597763,2.9145400524139404,4.599693775177002,0.27464759349823,0.2953904867172241,0.04103909432888031,0.04099799692630768,1.036536455154419,0.0001035748136928305,0.27074381709098816,0.0,0.0650724470615387,413.3619689941406,0.16843190789222717,0.947126030921936,0.942042350769043,0.999961256980896,0.1878863275051117,0.023524465039372444,0.6629427075386047,0.08818963170051575,0.4332919716835022,0.0756889283657074,0.5110850930213928,0.08562168478965759,0.35273197293281555,0.03641694039106369,0.8327142000198364,0.10424651950597763,0.5129764676094055,2.932436466217041,0.50927734375,4.603569030761719,0.870058000087738,0.29860514402389526,0.8824278116226196,0.31136369705200195,0.041039083153009415,0.15126457810401917,0.04099800065159798,0.15117046236991882,1.0365362167358398,0.8095512390136719,14.55914162031629,0.30904678,0.08908328,14.427271,0.049457457,0.14310035,0.08818131,0.09113447,0.07309267,0.16958165,2.9331129,4.5223546,0.31997606,0.38791215,0.049351417,0.0497236,1.0348123,0.00014611447,0.32611513,0.0,0.09197919,425.85196,0.22042061,0.93011916,0.9199133,0.9987629,0.55356336,0.049457457,1.3072342,0.14310035,0.5332488,0.08818131,0.70241594,0.09113447,0.9144433,0.07309267,1.6140614,0.16958165,0.51819956,2.950534,0.5101392,4.5257154,0.8508671,0.34556404,0.8531254,0.4060903,0.049351476,0.16382456,0.049723554,0.1642789,1.0348132,0.8094951
7,8.198625564575195,0.23201441764831543,0.05304544046521187,9.11318588256836,0.02322039194405079,0.07733261585235596,0.03343502804636955,0.06112828478217125,0.0338100902736187,0.09313073754310608,2.9159581661224365,4.694620609283447,0.151161789894104,0.10893835872411728,0.0399065762758255,0.03986799344420433,1.0211378335952759,0.0001035748136928305,0.2498500943183899,0.0,0.05665938928723335,399.22021484375,0.1374586820602417,0.95723557472229,0.9535188674926758,0.9998708963394165,0.22056010365486145,0.02322039194405079,0.5611667633056641,0.07733261585235596,0.1454443633556366,0.03343502804636955,0.2615983784198761,0.06112828478217125,0.42353349924087524,0.0338100902736187,0.7359268665313721,0.09313073754310608,0.5099284052848816,2.933952569961548,0.5042317509651184,4.698369026184082,0.9352213740348816,0.1679202765226364,0.9600349068641663,0.1175433099269867,0.0399065800011158,0.14803577959537506,0.03986800089478493,0.14796584844589233,1.021138072013855,0.8050323724746704,11.984462463720279,0.28545415,0.08021249,11.865085,0.04501818,0.13353442,0.07189607,0.08550643,0.06704403,0.1617478,2.9143248,4.6032176,0.25678703,0.2853614,0.043127295,0.043440457,1.027786,0.00014241536,0.302698,0.0,0.08302746,412.3849,0.18018849,0.9433351,0.9358868,0.99878776,0.5533351,0.04501818,1.2031388,0.13353442,0.39039573,0.07189607,0.54395384,0.08550643,0.90005296,0.06704403,1.5496467,0.1617478,0.51627606,2.9319081,0.5079161,4.6064243,0.88353014,0.2790242,0.8956576,0.29899278,0.043127336,0.15289398,0.04344048,0.15329452,1.0277859,0.8070686
8,7.806760311126709,0.22207865118980408,0.05169157683849335,7.824941635131836,0.02336045354604721,0.08458263427019119,0.015685902908444405,0.051596786826848984,0.03162693977355957,0.10156610608100891,2.900759220123291,4.72102165222168,0.11161070317029953,0.048811424523591995,0.029335008934140205,0.02920048125088215,1.009717345237732,8.877841173671186e-05,0.24022889137268066,0.0,0.05525795370340347,395.13818359375,0.11696536093950272,0.963114321231842,0.9601114988327026,1.0,0.25004225969314575,0.02336045354604721,0.6714069843292236,0.08458263427019119,0.067866750061512,0.015685902908444405,0.2702525556087494,0.051596786826848984,0.37968873977661133,0.03162693977355957,0.9510641098022461,0.10156610608100891,0.5077237486839294,2.9190874099731445,0.50537109375,4.724691867828369,0.9549745321273804,0.12654414772987366,0.9839311242103577,0.05427791550755501,0.029335016384720802,0.12956905364990234,0.02920047752559185,0.12933014333248138,1.0097168684005737,0.8005350828170776,10.228749096054923,0.26875564,0.07422672,10.12617,0.041690156,0.1252019,0.029123152,0.06126002,0.06379967,0.15322977,2.9164536,4.6318126,0.15631808,0.11933537,0.03512759,0.03537141,1.0198932,0.00014796402,0.2861056,0.0,0.0769575,399.81808,0.15279666,0.95219934,0.9459472,0.99925137,0.5346917,0.041690156,1.1891986,0.1252019,0.13178326,0.029123152,0.29463238,0.06126002,0.90425944,0.06379967,1.500619,0.15322977,0.51566386,2.9341033,0.50819165,4.6348968,0.9340802,0.172675,0.96565753,0.12664375,0.03512758,0.14080845,0.03537142,0.14116643,1.0198944,0.8044218
9,5.454563140869141,0.21047787368297577,0.04753880202770233,6.024307727813721,0.028584051877260208,0.07839085906744003,0.010143234394490719,0.0508868470788002,0.036423660814762115,0.10098078101873398,2.88992977142334,4.729262351989746,0.09859205037355423,0.02716091461479664,0.02487294003367424,0.024722862988710403,1.0047553777694702,0.0001035748136928305,0.2284795194864273,0.0,0.05111327022314072,389.0087890625,0.0883416086435318,0.9722076654434204,0.9702188968658447,1.0,0.3627021312713623,0.028584051877260208,0.659719705581665,0.07839085906744003,0.04316980391740799,0.010143234394490719,0.21410506963729858,0.0508868470788002,0.5524040460586548,0.036423660814762115,0.995820939540863,0.10098078101873398,0.5121774673461914,2.9081485271453857,0.5032700300216675,4.73293924331665,0.9612334370613098,0.11274801194667816,0.9918028116226196,0.031757842749357224,0.024872953072190285,0.11916733533143997,0.024722855538129807,0.11904437839984894,1.0047552585601807,0.7986682653427124,8.896986399184573,0.25934064,0.071604975,8.799653,0.04256142,0.12501845,0.018963642,0.056957148,0.0649989,0.15849946,2.897741,4.6504126,0.13279298,0.08182149,0.029640282,0.029828908,1.0107771,0.00014241536,0.27677557,0.0,0.07431262,391.8597,0.13168107,0.9588917,0.95362973,0.99930423,0.59591526,0.04256142,1.278209,0.12501845,0.08777177,0.018963642,0.26393104,0.056957148,1.030976,0.0649989,1.8300545,0.15849946,0.51558244,2.9154744,0.5076701,4.653443,0.94604677,0.14782365,0.9801969,0.08762506,0.029640293,0.1296509,0.029828897,0.1300688,1.0107782,0.8010786
